Omega_Re,Omega_Im,Mismatch_Re,Mismatch_Im,Mismatch_Abs,Mismatch_Phase
-1.0,0.2,3.270041636447105e-05,-6.242219870763313e-05,7.046877409111784e-05,-1.0882443875726548
-0.9661016949152542,0.2,-9.346336705422395e-06,-6.791255559242357e-05,6.855267476112911e-05,-1.7075603070908478
-0.9322033898305084,0.2,-4.566187641151008e-05,-4.843676868352557e-05,6.65667147899112e-05,-2.326713849649788
-0.8983050847457628,0.2,-6.330173261717592e-05,-1.2532209520479564e-05,6.453034656502033e-05,-2.9461442202474077
-0.864406779661017,0.2,-5.694105328335386e-05,2.571842657333023e-05,6.247976483971048e-05,2.7173528492922725
-0.8305084745762712,0.2,-3.0410482483814168e-05,5.222906032254842e-05,6.043734099937529e-05,2.0980637070129196
-0.7966101694915254,0.2,5.2751228670921815e-06,5.814619473512326e-05,5.838498851107016e-05,1.4803222766320197
-0.7627118644067796,0.2,3.6468950681971e-05,4.282454120085877e-05,5.624878392381549e-05,0.8653799144464844
-0.728813559322034,0.2,5.216820351576978e-05,1.3539979708456133e-05,5.3896683650927705e-05,0.25394152233303
-0.6949152542372881,0.2,4.797442756079011e-05,-1.7773697119367404e-05,5.116102040691239e-05,-0.3548044585408292
-0.6610169491525424,0.2,2.730338658021787e-05,-3.9358018761882406e-05,4.790123755822504e-05,-0.9642985723164575
-0.6271186440677966,0.2,-4.6430789599095856e-07,-4.4096701471588626e-05,4.409914582502349e-05,-1.5813252489800869
-0.5932203389830508,0.2,-2.4008729141320334e-05,-3.191718207108866e-05,3.993902335235938e-05,-2.2157164509938143
-0.5593220338983051,0.2,-3.459560928414439e-05,-9.310010045319418e-06,3.5826421378434186e-05,-2.878710919516538
-0.5254237288135593,0.2,-2.9319055958653938e-05,1.3687440002611453e-05,3.2356653969960636e-05,2.704819473179073
-0.4915254237288136,0.2,-1.1866184560525111e-05,2.7708063467623206e-05,3.014204898725832e-05,1.9754228238102725
-0.4576271186440678,0.2,9.399542909695542e-06,2.7733158189162063e-05,2.9282750384079274e-05,1.244019081703739
-0.423728813559322,0.2,2.5149077521186738e-05,1.485535173781762e-05,2.920886124827432e-05,0.5335470586559714
-0.38983050847457623,0.2,2.8950455892253692e-05,-4.4982759276950255e-06,2.9297839215392777e-05,-0.1541458150595203
-0.35593220338983056,0.2,1.9755933013082128e-05,-2.1511472453406168e-05,2.9206854269692255e-05,-0.8279131111712854
-0.3220338983050848,0.2,2.093363668765019e-06,-2.8774652200708675e-05,2.885069809764495e-05,-1.4981739984873117
-0.288135593220339,0.2,-1.6046896170726896e-05,-2.3339533026957406e-05,2.8323782915255602e-05,-2.1731118127253035
-0.2542372881355932,0.2,-2.6691515941720268e-05,-7.814541901066587e-06,2.7811941471077356e-05,-2.856779709854077
-0.22033898305084743,0.2,-2.5256391890210855e-05,1.0885668059705654e-05,2.7502419901128782e-05,2.734645500632397
-0.18644067796610164,0.2,-1.242090355088122e-05,2.455689617112957e-05,2.751944757039886e-05,2.0390739886557867
-0.15254237288135597,0.2,6.239261671961926e-06,2.7198569314813215e-05,2.79050274858118e-05,1.345301016197346
-0.11864406779661019,0.2,2.266903136897651e-05,1.7523329441637295e-05,2.8652260956646923e-05,0.658063990269129
-0.0847457627118644,0.2,2.977389053178583e-05,-5.46370918850926e-07,2.9778903246757295e-05,-0.018348613226509707
-0.05084745762711862,0.2,2.4464571358400182e-05,-1.9560510986718513e-05,3.1322976260435254e-05,-0.6744630745689006
-0.016949152542372836,0.2,9.02878770274806e-06,-3.1572977696293034e-05,3.283857378133088e-05,-1.2922642718680757
0.016949152542372836,0.2,-1.0087491546107366e-05,-3.128364040307468e-05,3.286979833466695e-05,-1.8827224776477682
0.05084745762711873,0.2,-2.521640132339228e-05,-1.8779439767278485e-05,3.144096457927493e-05,-2.501472140274026
0.0847457627118644,0.2,-3.001463002755182e-05,4.901580012687225e-07,3.0018632056724755e-05,3.1252634689744805
0.11864406779661008,0.2,-2.2358706557451708e-05,1.8505774717219274e-05,2.902370508406372e-05,2.4502021713006035
0.15254237288135597,0.2,-5.510550318608552e-06,2.7846345319717707e-05,2.8386354335822716e-05,1.7661634998439162
0.18644067796610164,0.2,1.3310395087627617e-05,2.4708222462397754e-05,2.8065332256007202e-05,1.0766677409112562
0.22033898305084754,0.2,2.6011992389876373e-05,1.0545005360808292e-05,2.8068147180575737e-05,0.3851443997671426
0.2542372881355932,0.2,2.7078906299058466e-05,-8.486658527054674e-06,2.8377641538859745e-05,-0.30370893462544013
0.2881355932203389,0.2,1.5965818013270758e-05,-2.4089385494774827e-05,2.889992799902361e-05,-0.9854935008521658
0.3220338983050848,0.2,-2.5836970930791094e-06,-2.9347400225283564e-05,2.9460912929706697e-05,-1.6586082878348163
0.35593220338983045,0.2,-2.046759417116931e-05,-2.173884672708464e-05,2.985799504620768e-05,-2.3260837225368745
0.38983050847457634,0.2,-2.9642081805512846e-05,-4.350953815050522e-06,2.995970315048896e-05,-2.9958503873415556
0.423728813559322,0.2,-2.561789017158347e-05,1.5268055129723263e-05,2.9822639123450856e-05,2.6041254950185473
0.4576271186440677,0.2,-9.55593746147539e-06,2.8214866557786117e-05,2.9789169770930277e-05,1.897355158827517
0.4915254237288136,0.2,1.1968926461282645e-05,2.8058708618887406e-05,3.0504857481968644e-05,1.1675989451275999
0.5254237288135593,0.2,2.9510719932892354e-05,1.3787009155451576e-05,3.257244560069317e-05,0.4370539228863939
0.5593220338983051,0.2,3.4661537950388485e-05,-9.449233888935668e-06,3.5926455908898546e-05,-0.2661469747225205
0.5932203389830508,0.2,2.3782314640549682e-05,-3.215021889499883e-05,3.9990437165132905e-05,-0.9339038366361724
0.6271186440677967,0.2,-9.51242736614437e-08,-4.419925423323362e-05,4.419935659488111e-05,-1.57294849267293
0.6610169491525424,0.2,-2.80772733912907e-05,-3.911539152097271e-05,4.81492173864567e-05,-2.1933731138573505
0.6949152542372881,0.2,-4.87118345912491e-05,-1.707320171071235e-05,5.161721656482344e-05,-2.804477886830505
0.728813559322034,0.2,-5.256711178750255e-05,1.4646551660331137e-05,5.4569430244584174e-05,2.8698587337069705
0.7627118644067796,0.2,-3.628484209674496e-05,4.411258768636474e-05,5.7118387217890996e-05,2.2591372736848294
0.7966101694915255,0.2,-4.418564008262398e-06,5.9271657676959885e-05,5.9436126317836614e-05,1.6452063600127562
0.8305084745762712,0.2,3.182230069084763e-05,5.2830013067438625e-05,6.16738931961041e-05,1.028648699963024
0.8644067796610169,0.2,5.8599001144339356e-05,2.553318850524051e-05,6.392015840373388e-05,0.4109216246355602
0.8983050847457628,0.2,6.47843893332486e-05,-1.3569799484576901e-05,6.619030562955243e-05,-0.2064758526177046
0.9322033898305084,0.2,4.65570923057369e-05,-5.01582492433127e-05,6.843546457151573e-05,-0.8226155689286244
0.9661016949152543,0.2,9.376754725329748e-06,-6.994783390028923e-05,7.057352900713869e-05,-1.43753723507895
1.0,0.2,-3.3588195752103476e-05,-6.429751715539397e-05,7.254197134231882e-05,-2.0521928241205587
-1.0,0.2169491525423729,4.343629058240925e-05,-8.569704023984298e-05,9.607650100533826e-05,-1.1016768229842357
-0.9661016949152542,0.2169491525423729,-1.4058578493645614e-05,-9.238371487863453e-05,9.344728141598789e-05,-1.721813649117508
-0.9322033898305084,0.2169491525423729,-6.323682600739587e-05,-6.508027349571439e-05,9.074325408407307e-05,-2.34182913524744
-0.8983050847457628,0.2169491525423729,-8.656415208085562e-05,-1.5716238219223742e-05,8.797927352076106e-05,-2.9619929907850913
-0.864406779661017,0.2169491525423729,-7.704471625478816e-05,3.633424868109676e-05,8.518254474950017e-05,2.7009224845688404
-0.8305084745762712,0.2169491525423729,-4.022379215289557e-05,7.187427505184333e-05,8.236422080847589e-05,2.0810113225973548
-0.7966101694915254,0.2169491525423729,8.614005255875195e-06,7.902521256882993e-05,7.949330354248086e-05,1.4622217367415917
-0.7627118644067796,0.2169491525423729,5.074784756717845e-05,5.722086410477822e-05,7.64824902941783e-05,0.8452791950439643
-0.728813559322034,0.2169491525423729,7.125878908193025e-05,1.6709448060569497e-05,7.319167080967541e-05,0.23032825854110406
-0.6949152542372881,0.2169491525423729,6.440629095239588e-05,-2.600901705660462e-05,6.945962339730486e-05,-0.3838013927570916
-0.6610169491525424,0.2169491525423729,3.5194309164875886e-05,-5.485287803764661e-05,6.517267545993337e-05,-1.0003398125811551
-0.6271186440677966,0.2169491525423729,-3.266165728952419e-06,-6.026834652418448e-05,6.035678446809574e-05,-1.624937082404724
-0.5932203389830508,0.2169491525423729,-3.535510533330034e-05,-4.245624941554953e-05,5.52495845012803e-05,-2.2651855635333553
-0.5593220338983051,0.2169491525423729,-4.917725183456478e-05,-1.0621417601329792e-05,5.031119765879206e-05,-2.9288777520508567
-0.5254237288135593,0.2169491525423729,-4.097455392465043e-05,2.1249204789002938e-05,4.61567197002676e-05,2.663179833090335
-0.4915254237288136,0.2169491525423729,-1.6083441969976928e-05,4.023567044897665e-05,4.3331123711257115e-05,1.9510707255391462
-0.4576271186440678,0.2169491525423729,1.378024669853959e-05,3.957104970027881e-05,4.1901827805652426e-05,1.2356897469480335
-0.423728813559322,0.2169491525423729,3.5651531664405875e-05,2.1007116583272544e-05,4.1380317267528764e-05,0.532466170101685
-0.38983050847457623,0.2169491525423729,4.06722069378257e-05,-6.363965512941192e-06,4.1167079981985865e-05,-0.15521113867809955
-0.35593220338983056,0.2169491525423729,2.7520995518703047e-05,-3.0226875727445033e-05,4.0878713416433246e-05,-0.8322207119730293
-0.3220338983050848,0.2169491525423729,2.6250819982686956e-06,-4.0304617012620425e-05,4.0390013716655834e-05,-1.505757140248073
-0.288135593220339,0.2169491525423729,-2.281924884464129e-05,-3.2574365052179596e-05,3.9771942074612374e-05,-2.1818764430405975
-0.2542372881355932,0.2169491525423729,-3.769764566621576e-05,-1.075305252334345e-05,3.920128349104578e-05,-2.8637272208161524
-0.22033898305084743,0.2169491525423729,-3.5655063064844054e-05,1.5472493018266996e-05,3.8867487214358585e-05,2.73216627443341
-0.18644067796610164,0.2169491525423729,-1.7677604636648235e-05,3.4656220050691564e-05,3.8904386563620346e-05,2.042479041211695
-0.15254237288135597,0.2169491525423729,8.44177902611304e-06,3.845073663448975e-05,3.9366518526034456e-05,1.3546772777342277
-0.11864406779661019,0.2169491525423729,3.147710891566358e-05,2.5089583953152848e-05,4.0252895655230226e-05,0.6729542250912288
-0.0847457627118644,0.2169491525423729,4.154686525758557e-05,7.37461525535525e-08,4.1546930707658625e-05,0.0017750093694597132
-0.05084745762711862,0.2169491525423729,3.430224002657523e-05,-2.6171085071155948e-05,4.314590785511949e-05,-0.6517412428412473
-0.016949152542372836,0.2169491525423729,1.2753773432573525e-05,-4.262123384416511e-05,4.4488518869124246e-05,-1.280041331325674
0.016949152542372836,0.2169491525423729,-1.4137833492904792e-05,-4.223798921945677e-05,4.454128499691097e-05,-1.8937929509399187
0.05084745762711873,0.2169491525423729,-3.527984023289846e-05,-2.5139961586441736e-05,4.33207201628344e-05,-2.5224687817251756
0.0847457627118644,0.2169491525423729,-4.184549836724895e-05,1.4347457675577446e-06,4.1870087521056826e-05,3.10731933865806
0.11864406779661008,0.2169491525423729,-3.104400058699731e-05,2.6367355539151807e-05,4.073042364834337e-05,2.437473568097642
0.15254237288135597,0.2169491525423729,-7.455839411362256e-06,3.927320471666479e-05,3.997466885472704e-05,1.7584091085880889
0.18644067796610164,0.2169491525423729,1.8870484943214776e-05,3.4812182793588986e-05,3.959776853367306e-05,1.0740652280624687
0.22033898305084754,0.2169491525423729,3.666078722432873e-05,1.4974383534048939e-05,3.960107930514396e-05,0.38777623060554206
0.2542372881355932,0.2169491525423729,3.820541790248041e-05,-1.1683857480717605e-05,3.9952052296883214e-05,-0.29678470008417607
0.2881355932203389,0.2169491525423729,2.2700569895131675e-05,-3.3592924255058426e-05,4.0543808819224806e-05,-0.9765285040676739
0.3220338983050848,0.2169491525423729,-3.2833664751379023e-06,-4.106698670928716e-05,4.1198032632527825e-05,-1.6505781035019051
0.35593220338983045,0.2169491525423729,-2.8459813736123355e-05,-3.0508996938426235e-05,4.172241474416044e-05,-2.32145817919401
0.38983050847457634,0.2169491525423729,-4.156297849733556e-05,-6.132899862848525e-06,4.20130175338276e-05,-2.9950930015143054
0.423728813559322,0.2169491525423729,-3.622066716134574e-05,2.1593867521584315e-05,4.216908635662769e-05,2.6039901702884927
0.4576271186440677,0.2169491525423729,-1.3909758223030513e-05,4.02365690431885e-05,4.2573029751128116e-05,1.9036347610154463
0.4915254237288136,0.2169491525423729,1.6316053084054748e-05,4.069826373375975e-05,4.384703250146305e-05,1.189511806151045
0.5254237288135593,0.2169491525423729,4.133186034340828e-05,2.1337923204501486e-05,4.6514832538967706e-05,0.4765696283924974
0.5593220338983051,0.2169491525423729,4.936035547348482e-05,-1.0893780826786792e-05,5.054818644789197e-05,-0.21721693221501637
0.5932203389830508,0.2169491525423729,3.5129173559849376e-05,-4.2890987428340554e-05,5.5440920244672054e-05,-0.8845566116630368
0.6271186440677967,0.2169491525423729,2.566507545771477e-06,-6.055244448475431e-05,6.0606810624398934e-05,-1.5284368096650605
0.6610169491525424,0.2169491525423729,-3.621631216194395e-05,-5.468023961625141e-05,6.558620183470026e-05,-2.155789962863447
0.6949152542372881,0.2169491525423729,-6.541787200942542e-05,-2.5208291957930908e-05,7.01067469055429e-05,-2.773785484472792
0.728813559322034,0.2169491525423729,-7.185303324859743e-05,1.8086947351268625e-05,7.409450756642904e-05,2.8949944905830223
0.7627118644067796,0.2169491525423729,-5.058829038117101e-05,5.888734544410175e-05,7.763307656625912e-05,2.2805318821688862
0.7966101694915255,0.2169491525423729,-7.5664743575141045e-06,8.0526782434419e-05,8.088148257446306e-05,1.6644834638881765
0.8305084745762712,0.2169491525423729,4.201934974255747e-05,7.272671635014596e-05,8.399286293407286e-05,1.0468824511750205
0.8644067796610169,0.2169491525423729,7.919056318618701e-05,3.6181450491861396e-05,8.706458899828618e-05,0.42856963211467014
0.8983050847457628,0.2169491525423729,8.850845694321276e-05,-1.6973897612322173e-05,9.012136345296904e-05,-0.18947659430606156
0.9322033898305084,0.2169491525423729,6.443446428493817e-05,-6.723230276626805e-05,9.312348105038871e-05,-0.8066443559578779
0.9661016949152543,0.2169491525423729,1.4138638659126527e-05,-9.49520121292014e-05,9.599888390245669e-05,-1.4229794203644743
1.0,0.2169491525423729,-4.455032328754154e-05,-8.806481689473669e-05,9.869216422658876e-05,-2.0391377108312168
-1.0,0.23389830508474577,5.765267696209305e-05,-0.0001176714872006505,0.0001310359113407783,-1.115224202295855
-0.9661016949152542,0.23389830508474577,-2.0969166384962728e-05,-0.0001256977094158419,0.00012743476798452485,-1.7360963143720758
-0.9322033898305084,0.23389830508474577,-8.756581470124151e-05,-8.744260376882533e-05,0.0001237496701335561,-2.3568985186792974
-0.8983050847457628,0.23389830508474577,-0.00011838378279677798,-1.9565272123836756e-05,0.00011998966581566301,-2.9778033308597314
-0.864406779661017,0.23389830508474577,-0.00010424112115794442,5.1280745786600794e-05,0.00011617196834303542,2.6844109625766706
-0.8305084745762712,0.23389830508474577,-5.313439938363039e-05,9.892909221879808e-05,0.00011229527899735855,2.0636783273398573
-0.7966101694915254,0.23389830508474577,1.3735312391413085e-05,0.00010744067279084506,0.00010831508194263225,1.443645122604
-0.7627118644067796,0.23389830508474577,7.068657109663946e-05,7.646499788622552e-05,0.00010413206631552425,0.8246465345055576
-0.728813559322034,0.23389830508474577,9.748661950417818e-05,2.0417483111057985e-05,9.960178009926707e-05,0.20645466181320132
-0.6949152542372881,0.23389830508474577,8.665077403895934e-05,-3.789442827181493e-05,9.457454380327996e-05,-0.4122623699965027
-0.6610169491525424,0.23389830508474577,4.546512156808011e-05,-7.647458612072266e-05,8.896875632229626e-05,-1.034421289342185
-0.6271186440677966,0.23389830508474577,-7.765172891138939e-06,-8.249504599168973e-05,8.285970385658088e-05,-1.6646487531035197
-0.5932203389830508,0.23389830508474577,-5.149375999321954e-05,-5.663189902865726e-05,7.654266330505705e-05,-2.308710139683791
-0.5593220338983051,0.23389830508474577,-6.951644767025712e-05,-1.1910862277960307e-05,7.052946289952969e-05,-2.9719016236738187
-0.5254237288135593,0.23389830508474577,-5.697784315538358e-05,3.2203012257446695e-05,6.544851876927968e-05,2.6271660229489546
-0.4915254237288136,0.23389830508474577,-2.1577132378921264e-05,5.791189239361503e-05,6.18009702375872e-05,1.9274485117258913
-0.4576271186440678,0.23389830508474577,2.027365180512299e-05,5.608657326600091e-05,5.963828181829063e-05,1.223939408855891
-0.423728813559322,0.23389830508474577,5.057565207216891e-05,2.944906928156712e-05,5.8524732071796986e-05,0.5272863886987817
-0.38983050847457623,0.23389830508474577,5.715133757026844e-05,-9.163972091125569e-06,5.78813767161572e-05,-0.15899232969172117
-0.35593220338983056,0.23389830508474577,3.835380909376054e-05,-4.2562275467425844e-05,5.729364681154158e-05,-0.8373615995418061
-0.3220338983050848,0.23389830508474577,3.291046559197642e-06,-5.6501027791752095e-05,5.6596794334830915e-05,-1.5126145145944512
-0.288135593220339,0.23389830508474577,-3.236535133695918e-05,-4.549707591590211e-05,5.5834576062348364e-05,-2.18911388082232
-0.2542372881355932,0.23389830508474577,-5.3137546298497836e-05,-1.48409718316175e-05,5.517112715480684e-05,-2.8692391983435717
-0.22033898305084743,0.23389830508474577,-5.022595325906443e-05,2.1905938855975928e-05,5.479522367819553e-05,2.730317739346804
-0.18644067796610164,0.23389830508474577,-2.506472920278912e-05,4.878531798772849e-05,5.484749676305141e-05,2.045403960215462
-0.15254237288135597,0.23389830508474577,1.1452658119674817e-05,5.419310569179735e-05,5.539003594987524e-05,1.3625301356744386
-0.11864406779661019,0.23389830508474577,4.367990537063458e-05,3.570559247129387e-05,5.6416517678014384e-05,0.6852834918700204
-0.0847457627118644,0.23389830508474577,5.785303911168359e-05,1.0172764613617996e-06,5.786198221506788e-05,0.017581991412649076
-0.05084745762711862,0.23389830508474577,4.788113182765595e-05,-3.5338759176062624e-05,5.9509920897285e-05,-0.6358103530238103
-0.016949152542372836,0.23389830508474577,1.7870221846333543e-05,-5.807747098122511e-05,6.076460700450732e-05,-1.2722937652983026
0.016949152542372836,0.23389830508474577,-1.968493654973781e-05,-5.7569670181176346e-05,6.084212070380706e-05,-1.9002659908266586
0.05084745762711873,0.23389830508474577,-4.9154952430338384e-05,-3.397522275677269e-05,5.975387108632506e-05,-2.5368065446328156
0.0847457627118644,0.23389830508474577,-5.8223086670520446e-05,2.8097577921612285e-06,5.829084456665168e-05,3.0933715818771166
0.11864406779661008,0.23389830508474577,-4.307751239743793e-05,3.7374988466002204e-05,5.703123562737543e-05,2.4269567736187514
0.15254237288135597,0.23389830508474577,-1.0119762256664309e-05,5.5244780552223796e-05,5.616400418768922e-05,1.751968158976045
0.18644067796610164,0.23389830508474577,2.6663124252208696e-05,4.894239994953433e-05,5.5734017509137964e-05,1.0719651566205106
0.22033898305084754,0.23389830508474577,5.1562208600102956e-05,2.119269111663927e-05,5.574756956572916e-05,0.3899633642972761
0.2542372881355932,0.23389830508474577,5.379872578321084e-05,-1.6120120412312115e-05,5.616191928704499e-05,-0.29112427292753684
0.2881355932203389,0.23389830508474577,3.218617253318088e-05,-4.687358827355002e-05,5.686020559208323e-05,-0.969080263223558
0.3220338983050848,0.23389830508474577,-4.184873117994194e-06,-5.751098358332583e-05,5.766304185295191e-05,-1.6434348035631035
0.35593220338983045,0.23389830508474577,-3.960535113996381e-05,-4.290735426686862e-05,5.839199336469343e-05,-2.316197714684873
0.38983050847457634,0.23389830508474577,-5.831241678495379e-05,-8.807833419905763e-06,5.897385760534043e-05,-2.9916802808826444
0.423728813559322,0.23389830508474577,-5.127570368022317e-05,3.028225000394599e-05,5.955008357008022e-05,2.6081306597541856
0.4576271186440677,0.23389830508474577,-2.0355930048399525e-05,5.700950625170329e-05,6.053468172211969e-05,1.9137485818420017
0.4915254237288136,0.23389830508474577,2.2001673690934088e-05,5.8531182691653756e-05,6.252977684660397e-05,1.2112398112394356
0.5254237288135593,0.23389830508474577,5.7578968466821736e-05,3.227775054268425e-05,6.600902051840343e-05,0.5109314970773027
0.5593220338983051,0.23389830508474577,6.987835588105436e-05,-1.2368000829928737e-05,7.096444225926391e-05,-0.1751790791210292
0.5932203389830508,0.23389830508474577,5.128576095844937e-05,-5.734991791105516e-05,7.693661262033815e-05,-0.8411613357742385
0.6271186440677967,0.23389830508474577,6.886509586064782e-06,-8.304072372727154e-05,8.332578119302573e-05,-1.4880563492679033
0.6610169491525424,0.23389830508474577,-4.682136303678613e-05,-7.641719714674547e-05,8.962046672712147e-05,-2.120506963488963
0.6949152542372881,0.23389830508474577,-8.804222009158139e-05,-3.6981045782363175e-05,9.54936137435991e-05,-2.7439326720353954
0.728813559322034,0.23389830508474577,-9.836393379420179e-05,2.213976294874025e-05,0.00010082476171504955,2.920201982919123
0.7627118644067796,0.23389830508474577,-7.058708902969989e-05,7.862709023719931e-05,0.00010566341115473918,2.3023642582023562
0.7966101694915255,0.23389830508474577,-1.2461394983857462e-05,0.00010944373575270751,0.00011015088588137717,1.684169271883329
0.8305084745762712,0.23389830508474577,5.541594875480849e-05,0.00010012556800385163,0.00011443800393439882,1.065297112724382
